NOMBRE_PRODUCTO,DESCRIPCION
Barra de Proteína No Cow Brownie de Chocolate 60 gr,"Mezcla de proteína (proteína de arroz café, proteína de guisante), fibra de maíz soluble, glicerina, nibs de cacao, aceite de palma, almendras, coca en polvo (procesada con álcali), saborizantes naturales, sal, agua, mantequilla de cacao, mezcla endulzante (eritritol, hoja de stevia, fruta del monje)."
Barra de Proteína ONE Canela 60 gr,"Mezcla de proteínas (aislado de proteína de leche, aislado de proteína de suero de leche), mezcla de aceite vegetal (palma y almendra de palma), isomalto-oligosacáridos (fuente vegetal), glicerina vegetal, maltitol (8 500 mg/100 g), polidextrosa, fibra soluble vegetal, manteca vegetal (grasas), concentrado de proteína de suero de leche, saborizantes naturales, lecitina de soya, canela, maltodextrina, sal de mar, almidón de tapioca, leche descremada en polvo, monoglicéridos destilados, sucralosa (50 mg/100 g), carbonato de calcio, cocoa en polvo (procesada con álcali), extracto de paprika."
Barra de Proteína Quest Chispas de Chocolate 60 gr,"Sólidos de la Leche, Proteína Aislada de Leche, Polidextrosa (Fibra Prebiótica), Almendras 3%, Agua, Avena, Chocolate sin Azúcar 5%, Eritritol (3.3g por 100g de producto), Glicerina."
Barra de Proteína Think! Crema de cacahuate cremosa 60 gr,"Mezcla de proteínas (aislado de proteína de soya, caseinato de calcio, aislado de proteína de suero de leche), jarabe de maltitol, glicerina vegetal, mantequilla de cacahuate, agua, manteca de cacao, chocolate, harina de cacahuate, aceite de girasol, aceite de cacahuate, lecitina de girasol y/o de soya, caseinato de sodio, sal, grasa de leche, saborizante natural."
Barra de Proteína Wild Protein Chocolate 45 gr,"Soya inflada (aislado de proteína de soya, cacao, almidón), dátiles, maltitol (18,4 g/ 100 g), cacahuate molido, sólidos de la leche (proteína concentrada de leche, lecitina de soya), sabor chocolate (cacao, maltitol (2,2 g/ 100 g), lecitina de colza, 15 grs. de Proteína."
Barra Vegana Lenny & Larrys Chocolate Almond Sea Salt 45 Gramos,"Mezcla de proteínas (proteína de arroz integral, proteína de chícharo), jarabe de tapioca, fibra de raíz de achicoria, almendras, chispas de chocolate semi-amargo (azúcar de caña orgánica, chocolate sin azúcar, manteca de cacao), cacao en polvo alcalinizado, trozos de galleta sin gluten (harina de arroz, azúcar, aceite de palma, almidón de tapioca, agua, melaza, sabores naturales, sal), jarabe de agave orgánico, aceite de girasol, sal marina, sabor natural."
Bebida de Proteína Carnivor MuscleMeds Chocolate 500 ml,"Agua, aislado de proteína de res hidrolizada, sabores naturales y artificiales, mezcla de aminoácidos (L-leucina, L-isoleucina, L-valina), mezcla de gomas (goma de celulosa, goma xantana, carragenina), cloruro de potasio, sucralosa, sal marina, acesulfame de potasio."
Bebida de Proteína Quest Chocolate 325 Mililitros,"Agua, concentrado de proteína de leche, aislado de proteína de lecho, cocoa procesada con álcali, contiene menos de 1% de: aceite vegetal [girasol (Helianthus annuus), canola (Brassica napus) y/o soya (Glycine max)], sal, polifosfato de sodio, fosfato trisódico, goma gellana, sucralosa (27.3 mg/100 g), azúcares invertidos, glucósidos de esteviol (13 mg/100 g)"
Bebida de Proteína Yaoca Chocolate 330 ml,"Aislado de proteína de suero de leche, caseinato de calcio, cocoa, mezcla de minerales (fosfato de magnesio, hierro aminoquelado,zinc aminoquelado, sulfato de manganeso)."
Carnivor Mass Proteína de carne de res alta en carbohidratos MuscleMeds Chocolate 5.99 Libras,"Tecnología iSPIKE [Compuesta por un sistema de carbohidratos reactivos que amplifican la liberación de insulina (maltodextrina microparticulada, maíz ceroso microparticulado, amilasa, glucoamilasa), y un sistema que amplifica la señal de insulina (Agaricus blazei (cuerpo fructífero), picolinato de cromo, 4-hidroxiisoleucina, D-pinitol)], Mezcla CARNIVOR MASS BPI [Compuesta por aislado de proteína de res hidrolizada, L-glutamina, aminoácidos de cadena ramificada (BCAA: L-leucina, L-valina, L-isoleucina), e intermediarios de la Tecnología de Retención de Nitrógeno Anabólico™: GKG (glutamina-alfa-cetoglutarato), OKG (ornitina-alfa-cetoglutarato), AKG (alfa-cetoglutarato) y KIC (alfa-cetoisocaproato)], cacao, triglicéridos de cadena media (MCT), sal, sabores naturales y artificiales, antiespumante (mono y diésteres de glicol de propileno con grasas y ácidos grasos, monoglicérido de ácido graso, oleato de poliglicerol, aceite de soya RBD, dimetilpolisiloxano, sílice hidrofóbica, polisorbato 60K, monostearato de sorbitano, contiene menos del 2% de parafina), acesulfame de potasio, dióxido de silicio, sucralosa."
Carnivor Proteína de carne de res MuscleMeds Chocolate 4.5 Libras,"CARNIVOR-BPI [Aislado de proteína de res hidrolizada con intermediarios de la Tecnología de Retención de Nitrógeno Anabólico™: GKG (glutamina-alfa-cetoglutarato), OKG (ornitina-alfa-cetoglutarato), AKG (alfa-cetoglutarato) y KIC (alfa-cetoisocaproato)], BCAA (aminoácidos de cadena ramificada: L-leucina, L-valina, L-isoleucina), maltodextrina, cacao, sabor natural y artificial, sal, sílice, acesulfame K, goma xantana, lecitina de girasol, sucralosa, antiespumante (mono y diésteres de glicol de propileno con grasas y ácidos grasos, monoglicérido de ácido graso, oleato de poliglicerol, aceite de soya RBD, dimetilpolisiloxano, sílice hidrofóbica, polisorbato 60K, monostearato de sorbitano, contiene menos del 2% de parafina)"
Falcon Performance Proteína Vegetal Birdman Chocolate 1.71 Kilogramos,"Mezcla de proteínas (proteína de chícharo, proteína de arroz, proteína de semilla de arándano),Creatina mono-hidratada (Creapure), Aminoácidos [l-leucina, L- isoleucina, L-valina), Probióticos (bacillus coagulans)."
Fitmingo Proteína Vegetal Birdman Vainilla 1.02 kg,"Proteína de Chícharo (Pisum sativum) | Saborizantes Naturales | Inositol | Svetol®- Extracto de Café Verde (Coffea canephora) Descafeinado | OPTIZIOME P3 HydrolyzerTM - Mezcla de Enzimas Digestivas (Proteasas y Peptidasas Fúngicas) | Pureway C Vitamina C (Ácido Ascórbico) | Lecitina de Girasol | Ácido Hialurónico | Stevia (Stevia rebaudiana] Concentrado de Fruta Monje (Monk Fruit) | ZincnovaTM - Óxido de Zinc Microencapsulado | Vitamina A [Betacaroteno) | Vitamina D3 (Colecalciferol de Origen Vegetal). Contiene 55.88 mg de equivalentes de esteviol por cada 100 g de producto. Contiene 147 mg de concentrado de fruta monje por cada 100 g de producto. Contiene coco. Puede contener trazas de almendra."
Galleta de Proteína Quest Chispas de Chocolate 59 gr,"Mezcla de proteínas (aislado de proteína de leche, aislado de proteína de suero), mantequilla (crema, sabor natural), polidextrosa, eritritol, aceite de palma, chocolate sin azúcar, agua, caseinato de calcio, manteca de cacao, glicerina. Contiene menos del 2% de los siguientes ingredientes: sabores naturales, lecitina (de girasol, canola y/o soya), sal marina, bicarbonato de sodio, caseinato de sodio, goma xantana, edulcorante de stevia."
Gold 100% Whey Advanced Proteína de suero de leche Pro Performance AMP Vainilla 4.9 Libras,"Mezcla de proteínas de suero de leche (proteina aislada de suero de leche, concentrado de proteina de suero de leche, proteina hidrolizada de suero de leche), mezcla de enzimas (proteasa Aminogen®, lactasa), saborizantes naturales y artificiales, lecitina, goma xantana, sucralosa (14,6 mg/100 g), acesulfame potásico (3,2 mg/100 g)."
Gold Standard 100% Caseina Optimum Nutrition Chocolate 1.81 lb,"Caseína micelar, cacao en polvo (procesado con álcali), sabor natural y artificial, sal, mezcla de gomas (goma guar, goma acacia, goma xantana), lecitina de girasol y/o soya, óxido de magnesio, acesulfame de potasio, sucralosa, sulfato de zinc monohidratado."
Infusions Proteína aislada de suero de leche Isopure Limonada 400 Gramos,"Aislado de proteína de suero de leche, saborizante natural, ácido cítrico, glucósidos de esteviol, extracto de cúrcuma (colorante)."
ISO 100 Proteína aislada de suero de leche Dymatize Chocolate 5 Libras,"Aislado de proteínas de suero de leche hidrolizada, aislado de proteínas de suero de leche, cocoa en polvo, cloruro de potasio, lecitina de soya (glycine max)."
Isofit Proteína Aislada Suero de Leche Nutrex Research Chocolate 2.20 lb,"Aislado de proteina de suero de leche instantáneo, triglicéridos de cadena media en polvo triglicéridos de cadena media, goma arabigal, inulina orgánica, cocoa procesada con álcali, saborizantes naturales y artificiales, sal, goma xantana, goma gua, Lecitina Igirasol (Helianthus annuus) y/o soya (Glycine nar sucralosa (180,7 mg/100 g), acesulfame potásico (160,8 mg/100g). Contiene: ingredienes de leche y soya."
Mass Proteína Mutant Fresa Plátano 15 lb,"Caseína micelar, cacao en polvo (procesado con álcali), sabor natural y artificial, sal, mezcla de gomas (goma guar, goma acacia, goma xantana), lecitina de girasol y/o soya, óxido de magnesio, acesulfame de potasio, sucralosa, sulfato de zinc monohidratado."
Muscletech Nitro Tech 100% Whey Gold Mezcla de Proteínas premium Chocolate,"Mezcla de proteína de suero de leche (concentrado de proteína de suero de leche, aislado de proteína de suero de leche, péptidos de suero de leche), cacao (procesado con álcali), lecitina de soya o girasol, sal, saborizantes artificiales y naturales, dióxido de silicio, acesulfamo de potasio, sucralosa, mezcla de gomas (goma de celulosa, goma de xantana, carragenina)."
Plant Proteína Vegana Isopure Chocolate 621 Gramos,"Proteína de chícharo orgánica, proteína de arroz integral orgánica, cacao en polvo (procesado con álcali), sabor natural, goma xantana, extracto de hoja de stevia [reb A], cloruro de potasio, extracto de fruta del monje, goma guar."
Platinum High Proteína Optimum Nutrition Vainilla 1.63 lb,"Aislado de proteína de suero hidrolizada, aminoácidos de cadena ramificada (L-leucina, L-isoleucina, L-valina), sabor natural y artificial, lecitina de girasol y/o soya, crema no láctea (aceite de girasol, maltodextrina, almidón modificado, fosfato dipotásico, fosfato tricálcico, tocoferoles), sal, goma guar, sucralosa, acesulfame de potasio."
Proteína aislada de suero de leche Kaged Chocolate 3 lb,"Aislado de proteína de suero, sabor natural, cacao en polvo, sal marina, mezcla de gomas (goma guar, acacia, goma xantana), lecitina de girasol, ProHydrolase® (mezcla de proteasas), sucralosa, extracto de hoja de stevia."
Aceite de Krill Omega 3 GNC 30 Cápsulas,"Aceite de krill, aceite de pescado, gelatina"
Aceite de Pescado Omega 3 + COQ-10 GNC 60 Cápsulas,"Aceite de pescado, EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico) y otros omegas-3"
Aceite de Pescado Omega 3 + Resveratrol GNC 60 Cápsulas,"Aceite de pescado, EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico) y otros omegas-3"
Aceite de Pescado Omega 3 GNC 180 Cápsulas,"Aceite de pescado incluye EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico), Vitamina E (concentrado de d alfa tocoferol, extracto de hoja de romero (Rosmarinus officinalis)"
Aceite de Pescado Omega 3 GNC Limón 360 caps,"Aceite de pescado incluye EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico), Vitamina E (concentrado de d alfa tocoferol, extracto de hoja de romero (Rosmarinus officinalis)"
Aceite de Pescado Omega 3 GNC Limón 90 caps,"Aceite de pescado incluye EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico), Vitamina E (concentrado de d alfa tocoferol, extracto de hoja de romero (Rosmarinus officinalis)"
Aceite de Pescado Omega 3-6-9 GNC Limón 90 Cápsulas,"Aceite de pescado�[incluye EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico)],extracto de hoja de romero (Rosmarinus officinalis), Vitamina E (concentrado de d-alfa tocoferol)"
Aceite de Salmón Complex 1000 GNC Fish Oil Sin Sabor - 180 caps,"EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico)], gelatina, glicerina, agua purificada"
Aloe Vera Natural Brand 180 Cápsulas,"Con vitamina E, vitamina C, complejo B y aloe vera en alta concentraci�n�"
Capsulas de Algas de omega Nordic Naturals 60 caps,"Aceite de�algas�(aceite de�algas�marinas [especie Schizochytrium], aceite de girasol con alto contenido de �cido oleico, extracto de romero, tocoferoles mixtos naturales (antioxidante), palmitato de ascorbilo),�c�psula�de gelatina blanda (almid�n de ma�z modificado, glicerina, carragenano, sorbitol, agua"
Capsulas de Omega 3 para niños Nordic Naturals Fresa 90 Softgels,"Aceite purificado de pescado de aguas profundas (proveniente de las anchoas y las sardinas),�c�psula�blanda (gelatina, glicerina, agua, saborizante�natural), saborizante�natural, RRR-alfa-tocoferol (antioxidante), extracto de romero (conservante�natural)."
Children's DHA Omega 3 Líquido para Niños Nordic Naturals Fresa 119 Mililitros,"Aceite purificado de h�gado de bacalao, saborizante natural a fresa (Fragaria vesca), d-alfa tocoferol, extracto de romero (Rosmarinus officinalis)."
Children's DHA Omega 3 para Niños Nordic Naturals Fresa 180 Cápsulas,"Aceite de h�gado de bacalao �rtico purificado, saborizante natural, RRR-alfa-tocoferol (antioxidante), extracto de romero (conservante natural)."
Children's DHA Omega 3 para Niños Nordic Naturals Fresa 90 Cápsulas,"Aceite de h�gado de bacalao �rtico purificado, saborizante natural, RRR-alfa-tocoferol (antioxidante), extracto de romero (conservante natural)."
Complete Omega 3 para Adolescentes Nordic Naturals Limón 90 Cápsulas,"Aceite purificado de pescado de aguas profundas (proveniente de las anchoas y las sardinas), c�psula blanda (gelatina, glicerina, agua, saborizante natural de lim�n), aceite de semilla de borraja (Borago officinalis), saborizante natural de lim�n, D-alfa-tocoferol, extracto de romero (un conservante natural)."
Complete Omega 3-6-9 con aceite de borraja Nordic Naturals Limón 60 Cápsulas,"Aceite�purificado de pescado de aguas profundas (proveniente de las anchoas y las sardinas), c�psula blanda (gelatina, glicerina, agua, saborizante�natural�de lim�n),�aceite�de semilla de�borraja�(Borago officinalis), saborizante�natural, RRR-alfa-tocoferol (antioxidante), extracto de romero (conservante�natural)."
Coplefor Complejo B CMD 50 Cápsulas,"�Aceite de semilla de soya, aceite semilla de linaza, manteca vegetal, di�xido de silio, Complejo B, vitamina B2"
DHA para Bebés Nordic Naturals 60 Mililitros,"tiamina (B1), riboflavina (B2), niacina, piridoxina (B6), �cido f�lico, vitamina B12, biotina, �cido pantot�nico, colina, inositol y �cido para-amino benzoico.�Adem�s, tambi�n puede contener aceites como el de soya y linaza, junto con otros ingredientes como lecitina de soya y di�xido de silicio coloidal"
DHA Plus con Vitamina D Nordic Naturals 90 caps,"830 mg de �cidos grasos esenciales Omega-3 totales; 400 UI de vitamina D3 (2 c�psulas).�Aceite de pescado Omega-3 dominante en DHA, con vitamina D3 natural (colecalciferol)"
DHA Xtra Nordic Naturals Fresa 90 caps,Vitaminas�� Coenzimas � Glucosaminas � Resveratrol � Magnesio � Minerales � Multivitaminas � Vitaminas � Coenzimas � Glucosaminas � Resveratrol � Magnesio.
Gomitas de Omega Natures Truth Durazno 50 Gomitas,compuesto por�aceite de linaza org�nico y aceite de fruto de espino amarillo
Gomitas de Probióticos Natures Truth Piña 50 Gomitas,Magnesio � Gelatina � 1-Desoxinojirimicina (DNJ) � Vitamina C (�cido asc�rbico) � Vitamina D3 � Pectina � Vitamina B12 � Vitamina D�
Histofil Colecalciferol Vitamina D3 4000 UI GNC 60 Tabletas,"Colecalciferol. Tratamiento del d�ficit de vitamina D: raquitismo, osteomalacia"
Lactasa Sagabrin 10 Mililitros,"Lactasa�Kosher (9000 ALU/ml), Glicerina Kosher, Agua, Cloruro de Potasio y Sorbato Pot�sico."
"Multimix Fx Glucosamina, Condroitina y MSM Biofarma Arándano Fresa 500 Gramos","Glucosamina, Condroitina, MSM, Zinc, Magnesio, Vitaminas"
N Z Max Plus Enzimas Natural Choice 120 Cápsulas,"papaya, Pi�a, Papa�na y Bromelina con Vitaminas y Minerales."
Nemo Omega 3 Infantil Biodesa Sabores Mixtos 90 Gomitas,"Jarabe de ma�z, (zea mays), az�car, gelatina, �cido c�trico, �cido fum�rico, saborizantes naturales, colorantes naturales (concentrado de jugo de zanahoria (daucus carota), c�rcuma longa y annatto (bixa orellano)), aceite vegetal de coco (cocus nucifera), cera de abeja, aceite de pescado (at�n), DHA y EPA"
Pro Omega Aceite de Pescado Nordic Naturals Limón 60 caps,"Aceite de pescado�de aguas profundas purificado (proveniente de las anchoas, sardinas, caballa, y arenque), c�psula blanda (gelatina, glicerina, agua, saborizante�natural), saborizante�natural, RRR-alfa-tocoferol (antioxidante), extracto de romero (conservante�natural)."
Probióticos 1 Billón UFC GNC 100 Cápsulas,Probi�ticos LAB4 Lactobacillus acidophilus (CUL 60) Lactobacillus acidophilus
Probióticos 100 Billones UFC GNC Probiotic 20 caps,"C�psula vegetariana (hidroxipropilmetilcelulosa, di�xido de titanio), Mezcla de probi�ticos LAB4 [Lactobacillus acidophilus CUL60, Lactobacillus acidophilus CUL21, Bifidobacterium m lactis HN019, Lactobacilanimalis subsp. Lactobacillus salivarius CUL34"
Probióticos 25 Billones UFC GNC 30 Cápsulas,"Prob��ticos LAB 4, Fructooligosac�ridos, Celulosa microcristalina, Estearato de magnesio"
Probióticos 50 Billones UFC GNC 30 Cápsulas,"Prob��ticos LAB 4, Fructooligosac�ridos, Celulosa microcristalina, Estearato de magnesio"
Probióticos 75 Billones UFC GNC 20 Cápsulas,"Prob��ticos LAB 4, Fructooligosac�ridos, Celulosa microcristalina, Estearato de magnesio"
Probióticos en polvo GNC Moras 30 Paquetes,Probi�ticos LAB4 Lactobacillus acidophilus (CUL 60) Lactobacillus acidophilus
Probióticos Masticables para Niños Milestones Fresa 30 Tabletas masticables,"�cido asc�rbico, Probi�ticos LAB4 [Lactobacillus acidophilus (CUL 60), Lactobacillus acidophilus (CUL 21), Bifidobacterium bifidum (CUL 20), Bifido bacterium animalis subsp. lactis (CUL 34)), fruto-digosac�ridos (proveniente de ra�z de achicoria (Cichorium intybus), xiitol (64 516,7 mg/100 g), maltodextrina, di�xido de silicio, estearato de magnesio, saborizantes naturales (vainilla, fresa), carboximeticelulosa de sodio, almid�n de ma�z (Zea mays) ceroso modificado, propilenglicol."
Probióticos para Mujeres 30 Billones GNC 30 Cápsulas,"�Probi�ticos LAB4 [Lactobacillus acidophilus (CUL 60), Lactobacillus acidophilus (CUL 21), Bifidobacterium bifidum (CUL 20), Bifidobacterium animalis sub.�lactis (CUL 34)]"
Triple Strength Fish Oil Aceite de Pescado Omega 3 GNC 60 Cápsulas,"Aceite de pescado, EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico) y otros omegas-3"
Triple Strength Fish Oil Flex GNC Fish Oil 60 caps,"Aceite de pescado, EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico) y otros omegas-3"
Triple Strength Fish Oil GNC 120 caps,"Aceite de pescado, EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico) y otros omegas-3"
Triple Strength Fish Oil Mini GNC 120 Softgels,"Aceite de pescado, EPA (�cido eicosapentaenoico), DHA (�cido docosahexaenoico) y otros omegas-3"
Vinagre de Sidra de Manzana 500 mg 5H8 Manzana 60 Gomitas,"Agave,�vinagre�de�manzana, acido citrico, sabor natural de�manzana, benzoato de sodio."
Ultimate Omega Aceite de Pescado Omega 3 Nordic Naturals Limón 60 Cápsulas,"Aceite de pescado�de aguas profundas purificado (proveniente de las anchoas, sardinas, caballa, y arenque), c�psula blanda (gelatina, glicerina, agua, saborizante�natural), saborizante�natural, RRR-alfa-tocoferol (antioxidante), extracto de romero (conservante�natural)."
Aceite de Pescado Omega 3 + COQ-10 GNC 60 Cápsulas,"Aceite de pescado, EPA (ácido eicosapentaenoico), DHA (ácido docosahexaenoico) y otros omegas-3."
Aceite de Pescado Omega 3 + Resveratrol GNC 60 Cápsulas,"Aceite de pescado, EPA (ácido eicosapentaenoico), DHA (ácido docosahexaenoico) y otros omegas-3."
Ácido Alfa Lipoico 600 mg GNC 60 Tabletas,"Ácido alfa-Lipóico, Calcio, Fósforo, Estearato de magnesio de origen vegetal, Hydroxipropil metil celulosa, Dióxido de silicio"
Ácido Hialurónico Women's 30 Cápsulas,"Aceite de Girasol (Helianthus annus), Ácido Hialurónico, Vitamina A (Palmitato), Grenetina, Glicerina, Proteína Hidrolizada (Colágeno), Agua, Dióxido de Titanio y Óxido de Hierro"
Aminoácidos Prelox 60 Tabletas,"Celulosa microcristalina, croscarmelosa sódica, estearato de magnesio, dióxido de silicio, carboximetilcelulosa sódica, dextrosa monohidratada, dextrina, dióxido de titanio, lecitina, azul FD&C N.º 1 / azul brillante FCF, azul FD&C N.º 2 / índigo carmín."
Calcio con Magnesio y Vitamina D-3 GNC 180 tabs,"Citrato de calcio, óxido de magnesio, celulosa microcristalina, hidroxipropil metil celulosa, hidroxipropilcelulosa."
Cloruro de Magnesio 200 mg Essential Nutrition 120 Tabletas,"Carbonato de calcio, proteína de soya, cloruro de magnesio y vitamina d."
Colágeno en polvo con magnesio ORGANIKA 250 gr,"Péptidos de colágeno, Bisglicinato de magnesio, L-teanina"
DHA Plus con Vitamina D Nordic Naturals 90 caps,"830 mg de ácidos grasos esenciales Omega-3 totales; 400 UI de vitamina D3 (2 cápsulas). Aceite de pescado Omega-3 dominante en DHA, con vitamina D3 natural (colecalciferol)."
Gomitas de Vitaminas y Minerales para Hombre BELABEAR Moras 100 Gomas,"Azúcar, Jarabe de Glucosa, Agua Purificada, Grenetina, Ácido Cítrico, Vitamina C (Ácido Ascórbico), Gluconato de Zinc, Pectina, Vitamina E (Acetato de DL-Alfa-Tocoferol), Citrato de Sodio, Vitamina B3 (Niacinamida), Sabor Natural de Moras, Concentrado de Alga Espirulina (como colorante natural), Vitamina B5 (Pantotenato de Calcio), Vitamina B12  (Cianocobalamina), Vitamina B1 (Tiamina), Vitamina B6 (Piridoxina), Licopeno, Vitamina A (Palmitato de Retinol), Polinicotinato de Cromo, Ácido Fólico, Biotina, Molibdato de Sodio, Ioduro de Potasio, Vitamina D3 (Colecalciferol), Cera de Carnauba (como abrillantador)."
Hierro 18 mg GNC 90 Cápsulas,"Quelato de proteína hidrolizado (hierro), celulosa microcistalina, cápsula celulosa vegetal, hidroxipropilcelulosa, ácido esteático de origen vegetal."
Histofil Colecalciferol Vitamina D3 4000 UI GNC 60 Tabletas,"Colecalciferol (equivalente a 4000 UI de vitamina D3)."
Mega Men 50 Plus Vitaminas y Minerales Men's 120 Tabletas,"Acetato de retinilo (Vitamina A), beta-caroteno, Vitamina C (ácido ascórbico y ascorbato de calcio), colecalciferol (Vitamina D), acetato de d-alfa tocoferilo natural (Vitamina E), fitonadiona (Vitamina K), mononitrato de tiamina (Vitamina B1), riboflavina (Vitamina B2), niacinamida, niacina, clorhidrato de piridoxina (Vitamina B6), ácido fólico, cianocobalamina (Vitamina B12), biotina, d-pantotenato de calcio, carbonato de calcio (Calcio), yoduro de potasio (Yodo), óxido de magnesio (Magnesio), óxido de zinc (Zinc), sulfato de cobre (Cobre), sulfato de manganeso (Manganeso), molibdato de sodio (Molibdeno), L-arginina, semilla de calabaza (Cucurbita sp.) en polvo, ácido alfa lipoico, bitartrato de colina, licopeno, inositol, dióxido de silicio (Silica), borato de sodio (Boro), luteina Lutemax (proveniente del extracto de flor de calendula (Tagetes erecta), extracto de semilla de uva (Vitis vinifera), resveratrol, extracto de raíz de cúrcuma (Curcuma longa) CurcuWIN®, isómeros de zeaxantina (proveniente del extracto de flor de calendula (Tagetes erecta), Astaxantina (proveniente de Haematococcus pluvialis), metavanadato de sodio (Vanadio), celulosa microcristalina, hidroxipropil metilcelulosa, almidón modificado, hidroxipropilcelulosa, almidón de maíz (Zea mays), ácido esteárico de origen vegetal, maltodextrina, estearato de magnesio de origen vegetal, celulosa, jarabe de glucosa, fosfato dicálcico, sacarosa, ascorbato de sodio, gelatina, dl-alfa tocoferilo, manitol (112,8 mg / 100 g), polietilenglicol, cera de camaúba, metilcelulosa, BHT, povidona, mezcla de tocoferoles, acetato de di-alfa tocoferil, colorante caramelo clase IV, goma arábiga, triglicéridos de cadena media (TCM), ésteres de poliglicerol de ácidos grasos, silicato de aluminio y sodio, carboximetilcelulosa de sodio, aceite de girasol (Helianthus annuus), talco, dióxido de titanio, palmitato de ascorbilo."
Phyton X Mezcla herbal y L-arginina Advanced Performulations 72 Tabletas,"Mezcla herbal AphroDexPYT [extracto de hoja de salvia (Salvia sclarea), raíz en polvo de fo-ti (Polygonum INGREDIENTES: Mezcla herbal AphroDexPYTTM [extracto de multiflorum), clorhidrato de L-arginina, L-arginina alfa ceto-glutarato, niacina, fruto de cayena (Capsicum frutescens), aspartato de raiz de zarzapamilla (Smilax officinalis), nuez de cola (Cola acuminata). silica, hidroxipropilcelulosa, triacetina de grado alimentario. magnesio, fosfato dicálcico, celulosa microcristalina, ácido esteárico, silica hidroxipropilcelulosa, triacetina de grado alimentario."
Picolinato de Cromo 200 mcg GNC 90 Tabletas,"Picolinatode cromo, fosfato dicálcico, celulosa, croscarmelosa sódica, ácido esteárico de origen vegetal, estearato de magnesio de origen vegetal, dióxido de silicio."
Plus Complex Glucosamina y Colágeno Artiforte 400 gr,"Colágeno hidrolizado, sulfato de glucosamina, raíz de cúrcuma (Cúrmuma longa), vitamina C, cloruro de magnesio, metilsulfonilmetano (MSM), sulfato de Condroitina, extracto de tronco de Boswellia Serrata, Ácido Hialurónico."
SEL Selenio 100 mcg GNC 100 Tabletas,"Levadura enriquecida de selenio concentrada."
TestroVax Novex Biotech 120 Tabletas,"Extracto del tallo de avena (Avena sativa), Ácido fólico,Vitamina B12 (cianocobalamina), vitamina D (colecalciferol),brócoli en polvo (Brassica oleracea)."
Triflex Turmeric Fórmula con cúrcuma GNC 60 Tabletas,"Extracto de raíz de cúrcuma (Curcuma longa) CurcuWIN® (20% de ácidos alfa-ceto boswellico), Extracto de pimienta negra (Piper nigrum)(50% de piperina), celulosa, croscarmelosa de sodio, ácido esteárico de origen vegetal, silicato de calcio, dióxido de silicio, estearato de magnesio de origen vegetal, triacetina, polietilenglicol, ácido oleico, monoglicéridos di-acetilados, eticelulosa."
Z-50 Zinc 30 mg GNC 100 Tabletas,"Óxido de zinc (equivalente a 30 mg de zinc)."
